Height,Weight,Age(Months),Gender(M/F),Experience(Months)
64.0,124.0,300.5,F,12.0
70.0,211.6,279.0,M,0.0
70.0,200.0,303.0,M,0.0
69.0,124.0,285.0,M,0.0
61.0,134.5,336.0,F,0.0
63.5,123.6,261.0,F,0.0
65.76,158.7,310.0,M,0.0
61.2,141.0,284.0,F,0.0
67.2,154.32,279.0,M,12.0
67.2,149.914,309.0,M,0.0
62.0,170.0,266.0,F,4.0
73.0,200.0,288.0,M,0.0
71.0,131.0,288.0,M,0.0
65.0,132.0,276.0,M,0.0
67.0,133.0,276.0,M,0.0
67.0,176.0,281.0,M,0.0
63.0,132.0,348.0,F,0.0
65.0,143.0,348.0,F,0.0
68.0,190.0,286.0,F,0.0
67.0,165.0,276.0,M,0.0
74.0,172.0,300.0,M,4.0
66.0,160.0,308.0,F,12.0
70.0,158.0,283.0,F,0.0
29.0,63.945,300.0,F,0.0
72.0,275.0,279.0,M,0.0
67.0,147.0,268.0,M,12.0
68.0,146.0,282.0,M,0.0
75.0,154.0,284.0,M,0.0
61.0,180.0,311.0,M,0.0
70.0,156.0,288.0,M,0.0
67.0,144.0,266.0,M,0.0
72.0,160.0,282.0,M,0.0
69.6,145.0,272.0,M,0.0
62.4,160.6,279.0,F,0.0
70.0,161.0,268.0,M,4.0
70.0,179.5,275.0,M,0.0
67.0,143.0,275.0,M,0.0
67.0,148.0,310.0,M,13.0
64.0,143.0,302.0,M,0.0
68.0,187.0,303.0,M,0.0
72.0,146.4,271.0,M,0.0
61.2,143.3,274.0,F,0.0
70.0,143.0,301.0,M,12.0
70.0,164.0,303.0,M,0.0
72.0,187.0,277.0,F,0.0
71.0,172.0,276.0,M,13.0
66.0,95.0,276.0,F,0.0
70.1,155.0,285.0,M,0.0
70.4,156.0,283.0,M,4.0
71.0,160.0,271.0,M,0.0
70.0,157.0,288.0,F,0.0
65.7,174.0,360.0,M,0.0
70.0,211.6,279.0,M,0.0
71.0,139.0,295.0,M,10.0
67.0,165.0,300.0,M,0.0
71.0,171.29,290.0,M,0.0
68.0,172.0,272.0,M,8.0
64.0,164.0,264.0,F,0.0
67.0,177.0,288.0,M,0.0
170.0,185.0,276.0,M,12.0
66.0,110.0,289.0,F,10.0
70.0,179.0,397.0,M,0.0
63.0,158.0,281.0,F,0.0
70.0,145.0,318.0,M,0.0
68.5,124.0,265.0,F,0.0
74.0,264.1,308.0,M,60.0
63.0,147.0,282.0,F,0.0
73.0,165.0,282.0,M,0.0
70.0,198.0,280.0,M,0.0
175.0,128.0,310.0,M,6.0
69.0,160.0,301.0,M,0.0
70.0,160.0,288.0,M,0.0
64.0,121.25,269.0,F,0.0
70.0,158.73,312.0,M,0.0
67.2,125.66,281.0,F,0.0
72.0,160.937,276.0,M,0.0
69.0,156.0,286.0,F,0.0
